height,weight,label
190, 45, thin
150, 79, fat
194, 70, normal
157, 40, thin
186, 90, fat
188, 55, thin
159, 101, fat
187, 52, thin
181, 54, thin
189, 81, normal
166, 60, normal
170, 104, fat
173, 81, fat
193, 89, overweight
151, 66, fat
187, 42, thin
169, 40, thin
186, 110, fat
196, 116, fat
170, 84, fat
188, 86, overweight
184, 77, normal
173, 71, overweight
200, 74, normal
188, 83, overweight
174, 106, fat
178, 113, fat
154, 105, fat
168, 46, thin
191, 81, normal
172, 69, overweight
176, 66, normal
160, 77, fat
175, 62, normal
151, 59, fat
190, 94, fat
195, 70, thin
166, 58, normal
156, 105, fat
157, 105, fat
171, 41, thin
169, 113, fat
188, 66, normal
195, 107, fat
167, 106, fat
190, 91, fat
187, 51, thin
178, 45, thin
155, 65, fat
151, 106, fat
171, 45, thin
180, 64, normal
162, 44, thin
188, 97, fat
169, 112, fat
162, 53, normal
184, 44, thin
166, 43, thin
174, 56, thin
162, 79, fat
172, 82, fat
160, 78, fat
194, 109, fat
175, 109, fat
195, 103, fat
188, 74, normal
197, 80, normal
150, 49, normal
189, 91, fat
200, 94, overweight
163, 108, fat
166, 44, thin
154, 111, fat
181, 108, fat
176, 42, thin
177, 83, fat
173, 110, fat
150, 54, overweight
200, 84, normal
200, 104, fat
182, 55, thin
194, 85, normal
187, 70, normal
191, 76, normal
185, 51, thin
192, 53, thin
158, 118, fat
164, 103, fat
176, 87, fat
192, 79, normal
176, 120, fat
163, 100, fat
189, 71, normal
160, 98, fat
153, 105, fat
184, 58, thin
183, 69, normal
156, 103, fat
189, 89, fat
194, 110, fat
190, 50, thin
168, 93, fat
154, 49, normal
193, 96, fat
187, 53, thin
151, 58, fat
152, 102, fat
175, 113, fat
193, 47, thin
183, 42, thin
158, 82, fat
164, 55, normal
170, 67, overweight
164, 42, thin
188, 76, normal
159, 59, overweight
171, 101, fat
162, 42, thin
175, 74, overweight
195, 96, fat
150, 89, fat
199, 74, normal
182, 55, thin
186, 60, thin
171, 76, fat
158, 41, thin
188, 48, thin
176, 49, thin
181, 95, fat
176, 85, fat
152, 49, normal
197, 79, normal
171, 106, fat
168, 109, fat
199, 74, normal
182, 100, fat
180, 95, fat
171, 74, fat
159, 77, fat
189, 112, fat
176, 68, normal
157, 42, thin
151, 77, fat
166, 106, fat
176, 115, fat
164, 86, fat
170, 109, fat
181, 66, normal
192, 101, fat
185, 61, thin
167, 66, overweight
193, 112, fat
175, 73, overweight
200, 41, thin
161, 110, fat
184, 109, fat
184, 55, thin
189, 98, fat
152, 61, fat
180, 54, thin
173, 71, overweight
168, 61, normal
167, 44, thin
157, 103, fat
200, 44, thin
157, 80, fat
189, 88, overweight
169, 64, normal
189, 108, fat
159, 73, fat
182, 58, thin
191, 80, normal
150, 114, fat
170, 113, fat
180, 101, fat
187, 96, fat
182, 75, normal
164, 42, thin
183, 47, thin
183, 102, fat
171, 109, fat
160, 99, fat
151, 95, fat
168, 113, fat
167, 80, fat
198, 75, normal
155, 78, fat
172, 76, fat
165, 44, thin
186, 114, fat
181, 106, fat
196, 46, thin
151, 103, fat
186, 104, fat
187, 50, thin
169, 104, fat
158, 72, fat
194, 82, normal
162, 97, fat
173, 65, normal
189, 46, thin
200, 46, thin
156, 118, fat
173, 100, fat
188, 81, overweight
176, 109, fat
168, 95, fat
175, 50, thin
200, 99, overweight
197, 81, normal
151, 68, fat
186, 97, fat
175, 88, fat
192, 112, fat
182, 116, fat
187, 105, fat
171, 104, fat
185, 104, fat
162, 40, thin
191, 96, fat
168, 93, fat
187, 110, fat
187, 115, fat
193, 41, thin
169, 112, fat
156, 81, fat
167, 98, fat
176, 54, thin
183, 51, thin
183, 88, fat
182, 77, overweight
198, 71, thin
193, 114, fat
168, 103, fat
174, 110, fat
157, 54, normal
190, 79, normal
160, 46, thin
197, 58, thin
161, 67, fat
195, 44, thin
165, 48, thin
170, 88, fat
177, 47, thin
167, 56, normal
195, 45, thin
192, 100, fat
153, 118, fat
174, 43, thin
157, 96, fat
170, 112, fat
155, 112, fat
179, 60, normal
194, 42, thin
185, 112, fat
160, 73, fat
192, 84, normal
189, 108, fat
162, 78, fat
161, 108, fat
175, 74, overweight
199, 95, overweight
151, 81, fat
166, 115, fat
175, 40, thin
156, 85, fat
170, 83, fat
168, 107, fat
158, 51, normal
181, 72, normal
159, 110, fat
169, 63, normal
189, 107, fat
192, 99, fat
161, 79, fat
190, 56, thin
154, 106, fat
163, 58, normal
180, 48, thin
195, 47, thin
150, 117, fat
194, 96, fat
160, 98, fat
178, 74, overweight
150, 98, fat
157, 40, thin
161, 119, fat
200, 84, normal
168, 97, fat
161, 116, fat
152, 45, normal
187, 99, fat
193, 40, thin
170, 40, thin
169, 78, fat
176, 82, fat
175, 110, fat
179, 52, thin
173, 51, thin
192, 52, thin
177, 47, thin
160, 95, fat
189, 86, overweight
173, 119, fat
157, 66, fat
161, 89, fat
158, 82, fat
184, 84, overweight
163, 40, thin
177, 105, fat
185, 104, fat
169, 116, fat
200, 104, fat
150, 53, overweight
187, 43, thin
155, 73, fat
157, 97, fat
184, 116, fat
189, 54, thin
160, 93, fat
155, 66, fat
161, 93, fat
196, 71, thin
200, 80, normal
176, 69, normal
153, 52, normal
156, 111, fat
153, 49, normal
159, 88, fat
164, 52, normal
176, 86, fat
159, 120, fat
172, 96, fat
185, 103, fat
165, 54, normal
197, 113, fat
197, 49, thin
196, 119, fat
150, 57, fat
178, 114, fat
189, 57, thin
157, 119, fat
158, 55, normal
169, 40, thin
189, 85, overweight
179, 57, thin
195, 105, fat
160, 41, thin
173, 59, normal
196, 107, fat
177, 58, normal
181, 76, overweight
161, 47, thin
196, 80, normal
170, 109, fat
151, 81, fat
174, 48, thin
200, 96, overweight
186, 115, fat
153, 51, normal
158, 86, fat
172, 64, normal
155, 54, normal
155, 73, fat
174, 75, overweight
186, 72, normal
174, 88, fat
190, 47, thin
151, 52, normal
200, 63, thin
190, 94, fat
180, 117, fat
163, 100, fat
156, 85, fat
158, 56, normal
165, 92, fat
176, 66, normal
162, 65, overweight
166, 118, fat
176, 87, fat
160, 78, fat
172, 92, fat
192, 110, fat
179, 51, thin
197, 108, fat
159, 98, fat
189, 78, normal
150, 85, fat
200, 102, fat
192, 80, normal
157, 47, normal
162, 78, fat
164, 80, fat
179, 93, fat
151, 61, fat
188, 99, fat
181, 110, fat
150, 110, fat
177, 112, fat
166, 83, fat
157, 88, fat
159, 43, thin
154, 116, fat
198, 52, thin
194, 66, thin
196, 105, fat
194, 78, normal
177, 91, fat
194, 56, thin
157, 44, thin
191, 107, fat
192, 96, fat
167, 107, fat
185, 76, normal
179, 71, normal
189, 85, overweight
173, 77, fat
164, 115, fat
156, 80, fat
158, 65, fat
186, 85, overweight
168, 68, overweight
153, 53, normal
169, 102, fat
150, 78, fat
194, 59, thin
154, 113, fat
168, 101, fat
166, 62, normal
197, 73, normal
172, 49, thin
162, 68, fat
160, 62, overweight
155, 63, fat
180, 111, fat
155, 52, normal
196, 90, overweight
178, 55, thin
182, 81, overweight
161, 72, fat
167, 67, overweight
161, 77, fat
188, 61, thin
157, 74, fat
175, 53, thin
190, 116, fat
183, 100, fat
156, 97, fat
185, 119, fat
188, 106, fat
185, 77, normal
191, 117, fat
178, 118, fat
164, 62, overweight
153, 105, fat
183, 64, normal
167, 74, fat
168, 103, fat
154, 64, fat
198, 80, normal
198, 80, normal
156, 106, fat
175, 43, thin
191, 100, fat
175, 81, fat
155, 53, normal
162, 49, normal
200, 69, thin
179, 99, fat
166, 85, fat
199, 61, thin
187, 70, normal
178, 98, fat
181, 82, fat
187, 56, thin
180, 101, fat
180, 80, overweight
190, 91, fat
197, 98, fat
150, 111, fat
200, 57, thin
187, 91, fat
192, 76, normal
158, 100, fat
167, 103, fat
190, 46, thin
183, 110, fat
168, 119, fat
199, 67, thin
178, 55, thin
187, 90, fat
151, 86, fat
194, 93, overweight
161, 119, fat
190, 95, fat
194, 91, overweight
156, 42, thin
155, 67, fat
167, 94, fat
158, 109, fat
177, 118, fat
188, 98, fat
167, 53, normal
197, 54, thin
193, 111, fat
168, 106, fat
161, 76, fat
155, 90, fat
175, 40, thin
179, 103, fat
193, 61, thin
174, 75, overweight
153, 86, fat
197, 76, normal
191, 112, fat
168, 94, fat
198, 84, normal
161, 105, fat
174, 107, fat
198, 68, thin
198, 113, fat
165, 65, overweight
154, 100, fat
198, 51, thin
188, 102, fat
191, 68, normal
153, 112, fat
166, 94, fat
152, 115, fat
170, 90, fat
184, 117, fat
170, 90, fat
184, 55, thin
160, 105, fat
175, 101, fat
169, 69, overweight
176, 61, normal
189, 81, normal
153, 106, fat
179, 106, fat
190, 114, fat
193, 106, fat
160, 53, normal
158, 50, normal
157, 86, fat
195, 61, thin
155, 76, fat
196, 83, normal
193, 108, fat
165, 118, fat
167, 72, fat
156, 62, fat
193, 85, normal
170, 118, fat
194, 56, thin
186, 111, fat
183, 78, overweight
191, 80, normal
194, 70, normal
182, 114, fat
188, 97, fat
187, 109, fat
188, 53, thin
152, 91, fat
177, 99, fat
171, 91, fat
174, 101, fat
192, 65, thin
191, 75, normal
184, 50, thin
157, 42, thin
153, 108, fat
188, 109, fat
184, 90, fat
185, 49, thin
183, 53, thin
153, 74, fat
157, 72, fat
182, 97, fat
161, 76, fat
179, 48, thin
151, 89, fat
177, 96, fat
191, 108, fat
153, 83, fat
200, 71, thin
174, 90, fat
186, 65, normal
191, 63, thin
172, 87, fat
180, 70, normal
164, 42, thin
181, 90, fat
160, 90, fat
164, 42, thin
193, 46, thin
161, 75, fat
192, 97, fat
150, 118, fat
175, 110, fat
157, 66, fat
183, 89, fat
200, 45, thin
189, 70, normal
164, 61, normal
164, 50, normal
168, 115, fat
193, 46, thin
157, 47, normal
153, 117, fat
165, 72, fat
181, 106, fat
152, 54, overweight
166, 108, fat
187, 109, fat
158, 99, fat
150, 82, fat
172, 45, thin
187, 97, fat
196, 42, thin
163, 42, thin
152, 103, fat
197, 42, thin
175, 87, fat
168, 99, fat
173, 57, normal
187, 103, fat
182, 95, fat
177, 86, fat
177, 75, overweight
168, 42, thin
168, 107, fat
163, 43, thin
177, 67, normal
174, 96, fat
168, 77, fat
196, 62, thin
179, 89, fat
172, 101, fat
185, 108, fat
187, 55, thin
155, 70, fat
159, 89, fat
159, 114, fat
191, 85, overweight
184, 75, normal
174, 89, fat
177, 76, overweight
178, 115, fat
161, 112, fat
197, 106, fat
175, 55, thin
196, 105, fat
176, 102, fat
167, 120, fat
151, 69, fat
174, 75, overweight
185, 70, normal
177, 119, fat
150, 73, fat
161, 120, fat
177, 75, overweight
182, 117, fat
167, 111, fat
166, 45, thin
180, 67, normal
200, 94, overweight
191, 71, normal
162, 68, fat
189, 115, fat
152, 107, fat
179, 88, fat
199, 62, thin
155, 71, fat
181, 70, normal
158, 99, fat
181, 49, thin
165, 67, overweight
161, 112, fat
155, 42, thin
152, 56, overweight
200, 88, normal
154, 56, overweight
164, 41, thin
185, 119, fat
176, 84, fat
193, 104, fat
190, 78, normal
196, 111, fat
166, 120, fat
186, 107, fat
187, 41, thin
181, 43, thin
189, 83, overweight
171, 85, fat
165, 73, fat
197, 84, normal
190, 64, thin
169, 52, thin
158, 120, fat
185, 49, thin
176, 66, normal
160, 89, fat
156, 75, fat
175, 57, normal
168, 45, thin
177, 80, fat
159, 97, fat
165, 42, thin
174, 79, fat
157, 108, fat
194, 40, thin
171, 118, fat
190, 87, overweight
174, 96, fat
194, 120, fat
158, 116, fat
173, 58, normal
200, 75, normal
153, 45, normal
195, 103, fat
181, 65, normal
157, 102, fat
199, 89, normal
158, 42, thin
164, 93, fat
197, 100, fat
155, 72, fat
182, 110, fat
185, 64, normal
186, 69, normal
150, 70, fat
167, 109, fat
194, 58, thin
194, 95, fat
171, 73, fat
198, 52, thin
163, 101, fat
175, 87, fat
150, 86, fat
188, 100, fat
152, 111, fat
192, 42, thin
153, 102, fat
178, 43, thin
168, 87, fat
167, 41, thin
174, 116, fat
150, 108, fat
157, 105, fat
185, 89, fat
168, 110, fat
185, 69, normal
175, 41, thin
156, 57, overweight
199, 70, thin
157, 85, fat
156, 61, fat
177, 83, fat
182, 65, normal
158, 41, thin
169, 87, fat
171, 106, fat
154, 54, normal
167, 113, fat
153, 51, normal
153, 118, fat
179, 41, thin
186, 67, normal
158, 111, fat
187, 46, thin
186, 44, thin
152, 102, fat
184, 86, fat
156, 53, normal
199, 77, normal
155, 105, fat
200, 62, thin
161, 78, fat
162, 82, fat
161, 84, fat
198, 114, fat
163, 117, fat
171, 81, fat
178, 49, thin
179, 86, fat
155, 72, fat
164, 98, fat
171, 108, fat
186, 40, thin
182, 118, fat
164, 66, overweight
165, 56, normal
159, 96, fat
161, 41, thin
170, 111, fat
163, 76, fat
164, 48, thin
175, 107, fat
172, 52, thin
165, 92, fat
152, 54, overweight
158, 89, fat
163, 65, overweight
172, 81, fat
168, 111, fat
179, 46, thin
193, 74, normal
155, 64, fat
165, 51, normal
193, 55, thin
197, 106, fat
188, 102, fat
170, 61, normal
160, 89, fat
170, 46, thin
186, 50, thin
178, 107, fat
178, 85, fat
156, 71, fat
155, 117, fat
183, 45, thin
170, 44, thin
196, 77, normal
182, 58, thin
175, 52, thin
168, 66, overweight
174, 105, fat
158, 63, fat
180, 52, thin
170, 47, thin
173, 44, thin
197, 52, thin
188, 89, fat
180, 59, thin
169, 86, fat
195, 86, normal
191, 85, overweight
190, 102, fat
195, 100, fat
170, 49, thin
154, 59, overweight
164, 103, fat
186, 66, normal
159, 69, fat
170, 93, fat
173, 57, normal
181, 46, thin
187, 67, normal
175, 68, normal
150, 48, normal
183, 107, fat
183, 52, thin
166, 60, normal
179, 114, fat
174, 96, fat
179, 116, fat
159, 64, fat
169, 95, fat
200, 99, overweight
